Water Intake (L),Sleep Hours,Exercise,Diet,Hashtags
3.2,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.8,4,Moderate,Healthy,"#Sleep,#Fitness"
1.2,8,Intense,Healthy,"#Dehydration,#Workout"
3.7,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.2,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.7,5,None,Healthy,"#Sleep,#NeedExercise"
3.2,8,Moderate,Balanced,#Fitness
1.7,9,None,Balanced,#NeedExercise
3.1,6,None,Balanced,#NeedExercise
3.6,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.9,6,None,Balanced,#NeedExercise
1.8,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.2,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.6,6,Intense,Unhealthy,"#Workout,#BetterDiet"
3.6,7,Light,Healthy,#ActiveLifestyle
1.6,9,Light,Healthy,#ActiveLifestyle
3.3,8,Moderate,Balanced,#Fitness
3.5,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.2,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.5,8,Intense,Unhealthy,"#Workout,#BetterDiet"
2.4,8,Moderate,Balanced,#Fitness
1.8,6,Moderate,Healthy,#Fitness
1.5,8,Light,Healthy,#ActiveLifestyle
3.3,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
2.4,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.4,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.8,9,Intense,Balanced,#Workout
1.4,7,Light,Healthy,"#Dehydration,#ActiveLifestyle"
1.0,4,None,Balanced,"#Dehydration,#Sleep,#NeedExercise"
2.6,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.6,5,None,Balanced,"#Sleep,#NeedExercise"
2.5,6,Moderate,Balanced,#Fitness
3.9,6,Light,Healthy,#ActiveLifestyle
1.9,6,Intense,Balanced,#Workout
3.1,4,None,Balanced,"#Sleep,#NeedExercise"
2.8,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.0,7,None,Balanced,#NeedExercise
2.5,7,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.5,6,None,Healthy,#NeedExercise
3.0,7,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.3,4,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.5,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.5,5,None,Balanced,"#Sleep,#NeedExercise"
3.5,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.2,6,Intense,Healthy,#Workout
1.5,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.3,9,Moderate,Balanced,#Fitness
3.1,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.0,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.7,8,None,Balanced,#NeedExercise
2.1,7,Light,Balanced,#ActiveLifestyle
1.1,5,Light,Unhealthy,"#Dehydration,#Sleep,#ActiveLifestyle,#BetterDiet"
2.0,9,Intense,Balanced,#Workout
2.2,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.5,9,None,Balanced,#NeedExercise
2.8,4,Intense,Balanced,"#Sleep,#Workout"
1.8,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
3.0,4,Intense,Balanced,"#Sleep,#Workout"
1.6,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.3,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.3,5,Intense,Balanced,"#Dehydration,#Sleep,#Workout"
1.9,7,Intense,Healthy,#Workout
1.1,6,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
2.0,6,Intense,Balanced,#Workout
2.3,9,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.3,7,None,Unhealthy,"#Dehydration,#NeedExercise,#BetterDiet"
4.0,8,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.3,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
3.2,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.7,4,None,Healthy,"#Sleep,#NeedExercise"
1.0,6,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
3.0,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.7,7,None,Balanced,#NeedExercise
2.4,6,Intense,Unhealthy,"#Workout,#BetterDiet"
3.7,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.2,4,Moderate,Balanced,"#Sleep,#Fitness"
2.9,8,Moderate,Balanced,#Fitness
3.0,6,Intense,Balanced,#Workout
3.1,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.5,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
1.3,6,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
2.8,9,Light,Healthy,#ActiveLifestyle
1.6,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.5,5,None,Balanced,"#Sleep,#NeedExercise"
3.6,4,Moderate,Healthy,"#Sleep,#Fitness"
2.6,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
3.5,8,Intense,Healthy,#Workout
1.7,9,Light,Healthy,#ActiveLifestyle
2.6,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.9,7,Moderate,Healthy,#Fitness
3.4,5,Intense,Balanced,"#Sleep,#Workout"
2.3,9,None,Healthy,#NeedExercise
1.8,7,Light,Balanced,#ActiveLifestyle
2.1,6,Intense,Healthy,#Workout
3.2,8,Intense,Healthy,#Workout
3.6,9,Moderate,Balanced,#Fitness
1.7,8,Light,Balanced,#ActiveLifestyle
1.5,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.8,8,Moderate,Healthy,#Fitness
3.5,9,Moderate,Balanced,#Fitness
2.1,8,Light,Balanced,#ActiveLifestyle
2.1,8,Intense,Healthy,#Workout
3.8,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.4,8,Light,Healthy,#ActiveLifestyle
2.5,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
1.4,4,None,Unhealthy,"#Dehydration,#Sleep,#NeedExercise,#BetterDiet"
3.4,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.4,8,Moderate,Balanced,#Fitness
3.7,4,Intense,Balanced,"#Sleep,#Workout"
1.8,8,Light,Healthy,#ActiveLifestyle
1.3,6,None,Balanced,"#Dehydration,#NeedExercise"
2.8,8,None,Balanced,#NeedExercise
3.4,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.7,6,None,Healthy,#NeedExercise
3.2,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.8,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.9,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.6,4,Moderate,Balanced,"#Sleep,#Fitness"
1.5,7,Intense,Unhealthy,"#Workout,#BetterDiet"
3.7,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
3.1,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
2.5,9,Light,Healthy,#ActiveLifestyle
3.0,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.9,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
3.0,7,Intense,Unhealthy,"#Workout,#BetterDiet"
2.3,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.9,5,Intense,Healthy,"#Sleep,#Workout"
2.4,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.3,7,None,Healthy,#NeedExercise
1.5,8,Light,Balanced,#ActiveLifestyle
1.9,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.5,8,Intense,Healthy,#Workout
3.3,6,Moderate,Balanced,#Fitness
2.9,8,Light,Healthy,#ActiveLifestyle
2.4,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.8,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.9,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.4,9,Light,Balanced,#ActiveLifestyle
1.9,5,Intense,Healthy,"#Sleep,#Workout"
2.9,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
3.1,7,Intense,Balanced,#Workout
2.4,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
3.6,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
1.7,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
1.9,4,Intense,Healthy,"#Sleep,#Workout"
1.2,8,Intense,Balanced,"#Dehydration,#Workout"
1.0,8,Moderate,Healthy,"#Dehydration,#Fitness"
2.3,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.6,7,Intense,Unhealthy,"#Workout,#BetterDiet"
3.0,6,None,Healthy,#NeedExercise
2.5,4,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.3,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
3.8,8,Intense,Healthy,#Workout
3.1,4,None,Balanced,"#Sleep,#NeedExercise"
2.4,9,Moderate,Balanced,#Fitness
1.8,9,Intense,Balanced,#Workout
3.4,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.8,7,None,Healthy,#NeedExercise
3.1,7,Intense,Balanced,#Workout
2.7,4,Moderate,Healthy,"#Sleep,#Fitness"
3.8,7,Moderate,Healthy,#Fitness
2.6,9,None,Balanced,#NeedExercise
3.8,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
3.3,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.7,7,Moderate,Healthy,#Fitness
3.1,9,Intense,Unhealthy,"#Workout,#BetterDiet"
1.7,4,None,Balanced,"#Sleep,#NeedExercise"
1.5,7,None,Healthy,#NeedExercise
1.3,9,Intense,Healthy,"#Dehydration,#Workout"
2.0,6,Moderate,Balanced,#Fitness
1.9,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
2.0,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.2,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.3,8,Intense,Healthy,#Workout
2.1,4,None,Healthy,"#Sleep,#NeedExercise"
1.2,6,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
1.7,8,Intense,Balanced,#Workout
2.4,4,None,Balanced,"#Sleep,#NeedExercise"
2.2,6,None,Balanced,#NeedExercise
1.9,8,Moderate,Healthy,#Fitness
3.6,8,Intense,Unhealthy,"#Workout,#BetterDiet"
3.5,4,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
1.7,5,Moderate,Balanced,"#Sleep,#Fitness"
2.9,8,Moderate,Healthy,#Fitness
3.3,9,Light,Healthy,#ActiveLifestyle
3.6,8,Moderate,Healthy,#Fitness
2.9,7,Intense,Healthy,#Workout
2.9,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.2,6,Light,Healthy,#ActiveLifestyle
3.2,4,Moderate,Balanced,"#Sleep,#Fitness"
1.9,8,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.8,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
3.0,5,None,Balanced,"#Sleep,#NeedExercise"
1.3,6,Intense,Balanced,"#Dehydration,#Workout"
2.9,7,Light,Healthy,#ActiveLifestyle
3.3,4,Intense,Balanced,"#Sleep,#Workout"
2.8,8,None,Healthy,#NeedExercise
2.1,5,None,Healthy,"#Sleep,#NeedExercise"
3.4,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
3.1,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
4.0,7,Intense,Healthy,#Workout
2.5,8,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.3,6,None,Healthy,"#Dehydration,#NeedExercise"
1.2,6,None,Unhealthy,"#Dehydration,#NeedExercise,#BetterDiet"
2.9,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.6,9,Moderate,Balanced,#Fitness
3.1,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.3,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.3,9,None,Healthy,#NeedExercise
3.3,9,Intense,Unhealthy,"#Workout,#BetterDiet"
1.4,4,Light,Healthy,"#Dehydration,#Sleep,#ActiveLifestyle"
1.0,7,Moderate,Healthy,"#Dehydration,#Fitness"
1.7,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.3,9,Moderate,Healthy,"#Dehydration,#Fitness"
1.9,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.7,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
2.8,7,Moderate,Balanced,#Fitness
1.7,9,Intense,Healthy,#Workout
2.9,4,Moderate,Balanced,"#Sleep,#Fitness"
2.6,9,None,Balanced,#NeedExercise
2.8,6,Light,Healthy,#ActiveLifestyle
1.1,9,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
1.4,5,Light,Balanced,"#Dehydration,#Sleep,#ActiveLifestyle"
1.3,4,Moderate,Unhealthy,"#Dehydration,#Sleep,#Fitness,#BetterDiet"
3.6,9,Light,Healthy,#ActiveLifestyle
1.8,9,Intense,Unhealthy,"#Workout,#BetterDiet"
3.6,7,None,Healthy,#NeedExercise
3.8,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.0,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
2.5,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.3,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.7,9,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.4,4,None,Healthy,"#Sleep,#NeedExercise"
1.6,8,Light,Healthy,#ActiveLifestyle
2.8,7,Intense,Balanced,#Workout
1.9,6,Light,Balanced,#ActiveLifestyle
2.5,8,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.3,6,Light,Balanced,"#Dehydration,#ActiveLifestyle"
3.4,8,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.5,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.2,4,Moderate,Balanced,"#Sleep,#Fitness"
1.4,6,None,Healthy,"#Dehydration,#NeedExercise"
3.4,4,Intense,Balanced,"#Sleep,#Workout"
4.0,6,Moderate,Balanced,#Fitness
3.7,6,None,Balanced,#NeedExercise
3.0,7,Light,Balanced,#ActiveLifestyle
3.7,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
1.1,9,Intense,Healthy,"#Dehydration,#Workout"
2.2,9,Intense,Unhealthy,"#Workout,#BetterDiet"
1.4,7,Moderate,Balanced,"#Dehydration,#Fitness"
1.1,8,Moderate,Healthy,"#Dehydration,#Fitness"
1.7,7,Moderate,Healthy,#Fitness
2.2,6,Light,Balanced,#ActiveLifestyle
3.4,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
1.8,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.6,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
1.7,8,Light,Healthy,#ActiveLifestyle
2.7,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.4,5,Light,Healthy,"#Dehydration,#Sleep,#ActiveLifestyle"
2.0,9,Intense,Healthy,#Workout
3.9,5,Intense,Balanced,"#Sleep,#Workout"
2.9,8,None,Healthy,#NeedExercise
1.6,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
2.6,6,None,Healthy,#NeedExercise
4.0,7,Light,Healthy,#ActiveLifestyle
1.3,7,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
3.0,9,Intense,Balanced,#Workout
2.7,7,Moderate,Healthy,#Fitness
3.3,8,Intense,Healthy,#Workout
2.3,5,None,Balanced,"#Sleep,#NeedExercise"
3.9,6,Intense,Unhealthy,"#Workout,#BetterDiet"
3.8,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
1.9,5,Moderate,Balanced,"#Sleep,#Fitness"
3.2,6,None,Balanced,#NeedExercise
3.0,7,Light,Balanced,#ActiveLifestyle
2.9,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.3,4,None,Balanced,"#Sleep,#NeedExercise"
3.9,8,Light,Healthy,#ActiveLifestyle
3.8,8,None,Balanced,#NeedExercise
2.5,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.9,4,Moderate,Healthy,"#Sleep,#Fitness"
2.7,4,Intense,Healthy,"#Sleep,#Workout"
1.1,4,Moderate,Unhealthy,"#Dehydration,#Sleep,#Fitness,#BetterDiet"
2.5,9,Moderate,Balanced,#Fitness
2.1,6,Moderate,Balanced,#Fitness
1.5,6,None,Healthy,#NeedExercise
2.1,4,Moderate,Healthy,"#Sleep,#Fitness"
3.0,5,Moderate,Balanced,"#Sleep,#Fitness"
3.2,7,Moderate,Healthy,#Fitness
1.4,9,Light,Unhealthy,"#Dehydration,#ActiveLifestyle,#BetterDiet"
2.9,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.2,5,Intense,Healthy,"#Sleep,#Workout"
2.3,6,Light,Balanced,#ActiveLifestyle
1.4,4,Intense,Healthy,"#Dehydration,#Sleep,#Workout"
2.2,7,None,Healthy,#NeedExercise
1.7,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.8,8,Intense,Unhealthy,"#Workout,#BetterDiet"
2.4,4,Light,Healthy,"#Sleep,#ActiveLifestyle"
1.1,8,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
2.4,8,Light,Balanced,#ActiveLifestyle
1.3,6,Moderate,Healthy,"#Dehydration,#Fitness"
1.3,9,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
2.3,8,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.2,6,None,Balanced,"#Dehydration,#NeedExercise"
3.3,4,Moderate,Healthy,"#Sleep,#Fitness"
3.8,6,Moderate,Healthy,#Fitness
3.2,6,Moderate,Balanced,#Fitness
3.8,4,Intense,Balanced,"#Sleep,#Workout"
3.7,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
3.8,5,Moderate,Healthy,"#Sleep,#Fitness"
1.6,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.1,4,Moderate,Healthy,"#Sleep,#Fitness"
2.1,7,Intense,Balanced,#Workout
1.2,5,Intense,Unhealthy,"#Dehydration,#Sleep,#Workout,#BetterDiet"
3.6,9,Light,Balanced,#ActiveLifestyle
3.9,7,Light,Balanced,#ActiveLifestyle
2.3,9,Light,Healthy,#ActiveLifestyle
3.5,7,Moderate,Balanced,#Fitness
1.9,8,Intense,Healthy,#Workout
2.6,7,Intense,Healthy,#Workout
2.3,5,Moderate,Healthy,"#Sleep,#Fitness"
1.6,7,None,Healthy,#NeedExercise
2.0,6,None,Healthy,#NeedExercise
2.7,7,Intense,Healthy,#Workout
4.0,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.7,9,None,Balanced,#NeedExercise
1.4,5,Moderate,Balanced,"#Dehydration,#Sleep,#Fitness"
1.6,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.1,5,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
1.5,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.2,4,None,Balanced,"#Dehydration,#Sleep,#NeedExercise"
1.3,7,Intense,Balanced,"#Dehydration,#Workout"
2.8,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.8,5,None,Healthy,"#Sleep,#NeedExercise"
3.9,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
3.1,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.9,6,Intense,Unhealthy,"#Workout,#BetterDiet"
3.3,6,Intense,Balanced,#Workout
3.2,4,Intense,Balanced,"#Sleep,#Workout"
3.6,8,Light,Healthy,#ActiveLifestyle
3.5,5,Light,Healthy,"#Sleep,#ActiveLifestyle"
3.0,7,Intense,Unhealthy,"#Workout,#BetterDiet"
3.8,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
2.7,8,Intense,Unhealthy,"#Workout,#BetterDiet"
3.2,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.7,9,Moderate,Unhealthy,"#Fitness,#BetterDiet"
3.6,8,Moderate,Healthy,#Fitness
3.1,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
3.6,9,Moderate,Unhealthy,"#Fitness,#BetterDiet"
1.7,6,Light,Healthy,#ActiveLifestyle
1.2,9,Moderate,Balanced,"#Dehydration,#Fitness"
3.4,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.7,6,None,Balanced,#NeedExercise
3.5,5,Light,Unhealthy,"#Sleep,#ActiveLifestyle,#BetterDiet"
2.0,7,Light,Balanced,#ActiveLifestyle
2.0,6,Intense,Balanced,#Workout
2.2,9,None,Healthy,#NeedExercise
3.6,9,Intense,Unhealthy,"#Workout,#BetterDiet"
2.9,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.2,6,Moderate,Balanced,#Fitness
2.2,7,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.6,7,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.2,9,Light,Balanced,#ActiveLifestyle
1.4,9,None,Balanced,"#Dehydration,#NeedExercise"
3.4,5,None,Healthy,"#Sleep,#NeedExercise"
1.7,6,None,Healthy,#NeedExercise
2.9,6,Intense,Healthy,#Workout
3.4,6,Light,Balanced,#ActiveLifestyle
1.3,9,Light,Balanced,"#Dehydration,#ActiveLifestyle"
1.1,6,Intense,Balanced,"#Dehydration,#Workout"
1.6,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
2.4,8,None,Unhealthy,"#NeedExercise,#BetterDiet"
3.8,7,Light,Balanced,#ActiveLifestyle
2.4,7,Light,Balanced,#ActiveLifestyle
1.4,8,Moderate,Healthy,"#Dehydration,#Fitness"
2.9,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.7,9,Light,Balanced,#ActiveLifestyle
1.1,8,Intense,Balanced,"#Dehydration,#Workout"
3.0,7,Intense,Balanced,#Workout
1.8,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.4,7,Intense,Unhealthy,"#Dehydration,#Workout,#BetterDiet"
3.3,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
2.9,5,Moderate,Healthy,"#Sleep,#Fitness"
1.5,8,Intense,Balanced,#Workout
3.2,5,Moderate,Healthy,"#Sleep,#Fitness"
3.8,8,None,Healthy,#NeedExercise
2.8,9,Moderate,Healthy,#Fitness
2.9,6,None,Healthy,#NeedExercise
1.3,7,None,Healthy,"#Dehydration,#NeedExercise"
2.8,8,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.9,4,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.4,5,Moderate,Unhealthy,"#Dehydration,#Sleep,#Fitness,#BetterDiet"
3.2,6,Light,Healthy,#ActiveLifestyle
2.6,7,Intense,Balanced,#Workout
2.1,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
1.7,8,None,Balanced,#NeedExercise
1.9,4,Intense,Healthy,"#Sleep,#Workout"
2.8,8,Intense,Balanced,#Workout
1.3,6,Moderate,Unhealthy,"#Dehydration,#Fitness,#BetterDiet"
1.4,9,Moderate,Balanced,"#Dehydration,#Fitness"
3.3,4,None,Balanced,"#Sleep,#NeedExercise"
1.6,6,Intense,Unhealthy,"#Workout,#BetterDiet"
3.3,7,None,Healthy,#NeedExercise
2.7,5,Moderate,Balanced,"#Sleep,#Fitness"
1.1,4,None,Unhealthy,"#Dehydration,#Sleep,#NeedExercise,#BetterDiet"
3.2,5,Moderate,Healthy,"#Sleep,#Fitness"
2.6,4,Intense,Healthy,"#Sleep,#Workout"
3.3,5,Moderate,Healthy,"#Sleep,#Fitness"
1.8,8,None,Healthy,#NeedExercise
3.6,4,None,Healthy,"#Sleep,#NeedExercise"
3.8,6,Intense,Balanced,#Workout
2.0,5,None,Balanced,"#Sleep,#NeedExercise"
3.3,9,Moderate,Balanced,#Fitness
1.8,8,None,Unhealthy,"#NeedExercise,#BetterDiet"
2.3,8,Intense,Balanced,#Workout
1.4,7,Light,Unhealthy,"#Dehydration,#ActiveLifestyle,#BetterDiet"
1.7,9,Moderate,Balanced,#Fitness
1.4,7,Intense,Healthy,"#Dehydration,#Workout"
1.4,9,Light,Balanced,"#Dehydration,#ActiveLifestyle"
2.5,8,None,Balanced,#NeedExercise
3.5,4,Moderate,Healthy,"#Sleep,#Fitness"
1.4,9,Light,Balanced,"#Dehydration,#ActiveLifestyle"
2.2,9,Intense,Unhealthy,"#Workout,#BetterDiet"
2.0,5,Moderate,Healthy,"#Sleep,#Fitness"
2.6,9,Light,Healthy,#ActiveLifestyle
2.0,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
3.5,4,None,Unhealthy,"#Sleep,#NeedExercise,#BetterDiet"
3.0,8,Moderate,Healthy,#Fitness
2.3,5,Light,Balanced,"#Sleep,#ActiveLifestyle"
3.1,9,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.2,6,Intense,Healthy,#Workout
2.9,4,Light,Balanced,"#Sleep,#ActiveLifestyle"
2.9,6,Light,Balanced,#ActiveLifestyle
2.2,9,Intense,Unhealthy,"#Workout,#BetterDiet"
1.5,9,Moderate,Healthy,#Fitness
2.6,9,Intense,Unhealthy,"#Workout,#BetterDiet"
3.3,6,Moderate,Unhealthy,"#Fitness,#BetterDiet"
2.4,9,Intense,Healthy,#Workout
1.9,9,Moderate,Balanced,#Fitness
1.7,5,Moderate,Unhealthy,"#Sleep,#Fitness,#BetterDiet"
1.4,9,Light,Balanced,"#Dehydration,#ActiveLifestyle"
1.1,5,None,Healthy,"#Dehydration,#Sleep,#NeedExercise"
3.7,7,Moderate,Healthy,#Fitness
2.6,8,Intense,Balanced,#Workout
3.2,8,None,Healthy,#NeedExercise
2.8,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
1.7,4,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
2.9,5,None,Healthy,"#Sleep,#NeedExercise"
1.6,9,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.5,6,Light,Healthy,#ActiveLifestyle
2.6,8,Light,Healthy,#ActiveLifestyle
2.5,9,None,Balanced,#NeedExercise
2.8,8,None,Balanced,#NeedExercise
1.8,4,Moderate,Healthy,"#Sleep,#Fitness"
3.8,4,Intense,Balanced,"#Sleep,#Workout"
1.4,4,None,Unhealthy,"#Dehydration,#Sleep,#NeedExercise,#BetterDiet"
2.2,6,None,Unhealthy,"#NeedExercise,#BetterDiet"
1.9,5,Intense,Unhealthy,"#Sleep,#Workout,#BetterDiet"
1.2,4,None,Unhealthy,"#Dehydration,#Sleep,#NeedExercise,#BetterDiet"
1.6,9,None,Balanced,#NeedExercise
1.2,4,Light,Balanced,"#Dehydration,#Sleep,#ActiveLifestyle"
2.3,6,Intense,Healthy,#Workout
2.8,9,Intense,Unhealthy,"#Workout,#BetterDiet"
2.5,6,Light,Unhealthy,"#ActiveLifestyle,#BetterDiet"
2.8,6,Light,Healthy,#ActiveLifestyle
2.2,9,Moderate,Balanced,#Fitness
3.3,6,Intense,Unhealthy,"#Workout,#BetterDiet"
1.3,8,None,Healthy,"#Dehydration,#NeedExercise"
3.4,8,Light,Healthy,#ActiveLifestyle
